1197,1744,941,356,4145,2254,344
3836,197,2992,4478,3547,4221,959
4928,3274,2807,455,1633,2729,1597
4004,4150,4633,1108,2690,3502,1474
995,559,4731,1513,2509,4704,680
3834,3383,3873,1061,3831,1637,2298
4486,3976,4554,2102,1365,1211,2350
4344,4732,377,4312,3748,2465,1844
1843,4658,4891,3052,1864,4949,1137
3140,1042,2462,2130,3590,2009,888
4576,3917,4523,567,1824,269,4095
4375,4470,3299,1025,3574,3638,2382
3960,1488,4246,1287,4945,4392,650
556,1386,1216,4710,223,4734,3222
3199,2755,1251,2683,2296,4681,3964
